1.3813280653493989e-01	4.1088387439678375e-01
1.4415943160587183e-01	4.0381094160358966e-01
1.5044899356092764e-01	3.9669479618622183e-01
1.5701296412834981e-01	3.8953718308921570e-01
1.6386331553880887e-01	3.8233995799892029e-01
1.7101254236192726e-01	3.7510509097497552e-01
1.7847368429551641e-01	3.6783467006552767e-01
1.8626034994908716e-01	3.6053090488954137e-01
1.9438674166501735e-01	3.5319613016764106e-01
2.0286768142264716e-01	3.4583280918086667e-01
2.1171863787254966e-01	3.3844353713453879e-01
2.2095575455028532e-01	3.3103104440208547e-01
2.3059587932109860e-01	3.2359819962121367e-01
2.4065659510926732e-01	3.1614801261217906e-01
2.5115625196814512e-01	3.0868363708516666e-01
2.6211400054939660e-01	3.0120837310089948e-01
2.7354982703246811e-01	2.9372566924559740e-01
2.8548458957800404e-01	2.8623912447829764e-01
2.9794005637169668e-01	2.7875248960535703e-01
3.1093894532795890e-01	2.7126966833369404e-01
3.2450496552583785e-01	2.6379471785103792e-01
3.3866286045274097e-01	2.5633184887815585e-01
3.5343845313485850e-01	2.4888542513476830e-01
3.6885869323658371e-01	2.4145996215770818e-01
3.8495170621484748e-01	2.3406012540684312e-01
4.0174684461801607e-01	2.2669072759148651e-01
4.1927474162291983e-01	2.1935672514749271e-01
4.3756736690766113e-01	2.1206321379309531e-01
4.5665808496210358e-01	2.0481542308987261e-01
4.7658171594241128e-01	1.9761870993413022e-01
4.9737459918061427e-01	1.9047855090361585e-01
5.1907465946505082e-01	1.8340053338491388e-01
5.4172147621257161e-01	1.7639034540830353e-01
5.6535635565867293e-01	1.6945376411941740e-01
5.9002240619722790e-01	1.6259664282089431e-01
6.1576461700723106e-01	1.5582489652254433e-01
6.4262994010996610e-01	1.4914448594551410e-01
6.7066737600625759e-01	1.4256139993474223e-01
6.9992806305001987e-01	1.3608163624479327e-01
7.3046537072109152e-01	1.2971118067715898e-01
7.6233499696749507e-01	1.2345598456243419e-01
7.9559506979466244e-01	1.1732194059860458e-01
8.3030625328691665e-01	1.1131485707710874e-01
8.6653185825458967e-01	1.0544043055145791e-01
9.0433795770857717e-01	9.9704217029045333e-02
9.4379350737297429e-01	9.4111601795335995e-02
9.8497047145556549e-01	8.8667768010816841e-02
1.0279439539055892e+00	8.3377664254722109e-02
1.0727923353981734e+00	7.8245971225382807e-02
1.1195974162952946e+00	7.3277067844700186e-02
1.1684445658440088e+00	6.8474997053221104e-02
1.2194228778840852e+00	6.3843431621971009e-02
1.2726253333490389e+00	5.9385640346813220e-02
1.3281489698569560e+00	5.5104455029729792e-02
1.3860950587004321e+00	5.1002238687998004e-02
1.4465692895584488e+00	4.7080855465546481e-02
1.5096819632670508e+00	4.3341642749471533e-02
1.5755481930005182e+00	3.9785386017283146e-02
1.6442881142298509e+00	3.6412296955401290e-02
1.7160271038416086e+00	3.3221995395058865e-02
